Bien jurídico afectado;(Todas);;
Tipo de delito;(Todas);;
Subtipo de delito;(Todas);;
Modalidad;(Todas);;
Sexo;(Todas);;
Rango de edad;(Todas);;
;;;
Suma de Total;;;Etiquetas de columna
Hidalgo;13040;La Misión;13
Hidalgo;13041;Mixquiahuala de Juárez;331
Hidalgo;13042;Molango de Escamilla;34
Hidalgo;13043;Nicolás Flores;7
Hidalgo;13044;Nopala de Villagrán;43
Hidalgo;13045;Omitlán de Juárez;41
Hidalgo;13046;San Felipe Orizatlán;79
Hidalgo;13047;Pacula;13
Hidalgo;13048;Pachuca de Soto;3964
Hidalgo;13049;Pisaflores;13
Hidalgo;13050;Progreso de Obregón;191
Hidalgo;13051;Mineral de la Reforma;1596
Hidalgo;13052;San Agustín Tlaxiaca;235
Hidalgo;13053;San Bartolo Tutotepec;51
Hidalgo;13054;San Salvador;186
Hidalgo;13055;Santiago de Anaya;59
Hidalgo;13056;Santiago Tulantepec de Lugo Guerrero;270
Hidalgo;13057;Singuilucan;170
Hidalgo;13058;Tasquillo;71
Hidalgo;13059;Tecozautla;80
Hidalgo;13060;Tenango de Doria;95
Hidalgo;13061;Tepeapulco;355
Hidalgo;13062;Tepehuacán de Guerrero;29
Hidalgo;13063;Tepeji del Río de Ocampo;722
Hidalgo;13064;Tepetitlán;40
Hidalgo;13065;Tetepango;47
Hidalgo;13066;Villa de Tezontepec;101
Hidalgo;13067;Tezontepec de Aldama;245
Hidalgo;13068;Tianguistengo;12
Hidalgo;13069;Tizayuca;2282
Hidalgo;13070;Tlahuelilpan;133
Hidalgo;13071;Tlahuiltepa;7
Hidalgo;13072;Tlanalapa;70
Hidalgo;13073;Tlanchinol;72
Hidalgo;13074;Tlaxcoapan;124
Hidalgo;13075;Tolcayuca;177
Hidalgo;13076;Tula de Allende;896
Hidalgo;13077;Tulancingo de Bravo;1649
Hidalgo;13078;Xochiatipan;21
Hidalgo;13079;Xochicoatlán;18
Hidalgo;13080;Yahualica;31
Hidalgo;13081;Zacualtipán de Ángeles;168
Hidalgo;13082;Zapotlán de Juárez;203
Hidalgo;13083;Zempoala;526
Hidalgo;13084;Zimapán;118
Hidalgo;13999;No especificado;1
Jalisco;14001;Acatic;49
Jalisco;14002;Acatlán de Juárez;80
Jalisco;14003;Ahualulco de Mercado;116
Jalisco;14004;Amacueca;24
Jalisco;14005;Amatitán;51
Jalisco;14006;Ameca;286
Jalisco;14007;San Juanito de Escobedo;15
Jalisco;14008;Arandas;252
Jalisco;14009;El Arenal;99
Jalisco;14010;Atemajac de Brizuela;19
Jalisco;14011;Atengo;3
Jalisco;14012;Atenguillo;11
Jalisco;14013;Atotonilco el Alto;146
Jalisco;14014;Atoyac;12
Jalisco;14015;Autlán de Navarro;335
Jalisco;14016;Ayotlán;48
Jalisco;14017;Ayutla;13
Jalisco;14018;La Barca;168
Jalisco;14019;Bolaños;17
Jalisco;14020;Cabo Corrientes;29
Jalisco;14021;Casimiro Castillo;58
Jalisco;14022;Cihuatlán;169
Jalisco;14023;Zapotlán el Grande;611
Jalisco;14024;Cocula;141
Jalisco;14025;Colotlán;132
Jalisco;14026;Concepción de Buenos Aires;7
Jalisco;14027;Cuautitlán de García Barragán;32
Jalisco;14028;Cuautla;3
Jalisco;14029;Cuquío;24
Jalisco;14030;Chapala;238
Jalisco;14031;Chimaltitán;6
Jalisco;14032;Chiquilistlán;12
Jalisco;14033;Degollado;43
Jalisco;14034;Ejutla;2
Jalisco;14035;Encarnación de Díaz;134
Jalisco;14036;Etzatlán;63
Jalisco;14037;El Grullo;115
Jalisco;14038;Guachinango;6
Jalisco;14039;Guadalajara;9757
Jalisco;14040;Hostotipaquillo;18
Jalisco;14041;Huejúcar;7
Jalisco;14042;Huejuquilla el Alto;17
Jalisco;14043;La Huerta;84
Jalisco;14044;Ixtlahuacán de los Membrillos;211
Jalisco;14045;Ixtlahuacán del Río;51
Jalisco;14046;Jalostotitlán;81
Jalisco;14047;Jamay;89
Jalisco;14048;Jesús María;42
Jalisco;14049;Jilotlán de los Dolores;5
Jalisco;14050;Jocotepec;145
