FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,CUENT_HAB,DINERO,CANTIDAD,BANCO,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,OID,FE_16,VEH_SOSP,INCIDENTE,LONG,LAT
165881,JULIO,2016-07-20,MIERCOLES,14,30,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PERICOS,770,AVENIDA,SAN COSME,NULO,316,NULO,0,NULO,SAN MIGUEL,SAN ALEJO,ALFA Y OMEGA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,418,,,Robo a persona,-102.24360547,21.90333602
166549,JULIO,2016-07-21,JUEVES,12,17,JESUS MARIA,URBANA,COLONIA,ZONA CENTRO,192,CALLE,GUZMAN,NULO,0,NULO,0,NULO,JULIO CADENA,NINGUNO,JULIO CADENA,NULO,DINERO,350,NULO,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,419,,,Robo a persona,-102.34202501,21.96017460
166311,JULIO,2016-07-20,MIERCOLES,23,42,AGUASCALIENTES,URBANA,BARRIO,DE GUADALUPE,910,CALLE,EMILIANO ZAPATA,NULO,0,NULO,0,NULO,NICOLAS BRAVO,ANTONIO ARIAS BERNAL,RAFAEL GARCIA MACIAS,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,420,,,Robo a persona,-102.30357900,21.88241759
167101,JULIO,2016-07-22,VIERNES,2,5,JESUS MARIA,URBANA,COLONIA,ARBOLEDAS PASO BLANCO,114,CALLE,CHAMPAÑA,NULO,202,NULO,0,NULO,EMPERADOR,SAN EMILION,MOLUCA,NULO,DINERO,50000,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,421,,,Robo a persona,-102.30203995,21.96394595
166932,JULIO,2016-07-21,JUEVES,22,33,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,CALLE,MONTE DE LAS CRUCES,NULO,0,NULO,0,NULO,SIERRA DE TLAHUILOTEPEC,SIERRA DE SAN BERNARDINO,PICACHO ORIENTE,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,422,,,Robo a persona,-102.25586729,21.91050538
167020,JULIO,2016-07-22,VIERNES,0,4,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,J. GUADALUPE PERALTA GAMEZ,411,CALLE,ISABEL JIMENEZ DIAZ,NULO,448,NULO,0,NULO,JOSE GUERRA PALOS,JOSE TRINIDAD VELA SALAS,RECINTO MAGUEY,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,423,,,Robo a persona,-102.23538746,21.87110354
167511,JULIO,2016-07-22,VIERNES,17,37,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,324-P,CALLE,MENORCA,NULO,411,NULO,0,NULO,GALIA,EGEO,PATRAS,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,424,,,Robo a persona,-102.26804302,21.80879819
167806,JULIO,2016-07-22,VIERNES,23,37,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,JOSE MARIA GONZALEZ BOCANEGRA,NULO,0,NULO,0,NULO,PROFESOR JOSE RAMIREZ PALOS,GENERAL PASCUAL CORNEJO BRUN,RICARDO GARCIA MENDOZA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,425,,,Robo a persona,-102.32336176,21.85360575
167522,JULIO,2016-07-22,VIERNES,17,54,JESUS MARIA,URBANA,FRACCIONAMIENTO,PASO BLANCO,195-P,CALLE,SAN EMILION,NULO,111,C,0,NULO,MOSCATEL,MALAGA,PASO BLANCO,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,426,,,Robo a persona,-102.29820493,21.95992582
198959,JULIO,2016-07-24,DOMINGO,2,3,AGUASCALIENTES,URBANA,SIN TIPO,TEATRO AGUASCALIENTES,945,BOULEVARD,JOSE MARIA CHAVEZ,NULO,0,NULO,0,NULO,AGUASCALIENTES,SIGLO XXI,DEL PARQUE,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,427,,,Robo a persona,-102.29270964,21.85745895
