FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,TIPO_ROBO,LON,OID,LONG,LAT
211100947,30422,ROBO TRANSEUNTE,9,2021-09-16,37,4,1,FRACCIONAMIENTO,VILLA MONTAÑA,501R,CALLE,SIERRA DE ALCUBIRRE,0,NA,"416,C,,",CALLE,CONSTITUCIONALISTA,3,9,15,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,38,0,0,false,1,21,1,TRANSEUNTE,-102.26580000,1335,-102.26588592,21.93809656
211103758,30421,ROBO TRANSEUNTE,9,2021-09-16,37,4,1,FRACCIONAMIENTO,J GUADALUPE PERALTA GAMEZ,411,CALLE,CATEDRATICOS,0,NA,",,,",CALLE,SALVADOR AGUILERA PADILLA,4,21,39,0,false,true,3,NA,NA,0,NA,0,ND,ND,0,1,true,N,N,38,0,0,false,1,39,1,TRANSEUNTE,-102.23940000,1336,-102.23940381,21.87061786
211104533,30422,ROBO TRANSEUNTE,9,2021-09-17,37,5,1,SIN TIPO,DEPORTIVO FERROCARRILERO,511,AVENIDA,ALAMEDA,0,NA,",,,",AVENIDA,HEROICO COLEGIO MILITAR,4,0,7,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.27480000,1337,-102.27485876,21.88394457
211105200,30421,ROBO TRANSEUNTE,9,2021-09-17,37,5,1,COLONIA,ZONA CENTRO,906,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,0,NA,",,,",CALLE,16 DE SEPTIEMBRE,1,3,9,0,false,true,3,NA,NA,0,NA,0,ND,ND,0,1,true,N,N,38,0,0,false,1,17,1,TRANSEUNTE,-102.29210000,1338,-102.29212876,21.87923392
211107324,30422,ROBO TRANSEUNTE,9,2021-09-17,37,5,1,FRACCIONAMIENTO,VISTAS DE ORIENTE,489,CALLE,GRABADOS,0,NA,",,,",AVENIDA,VISTAS DE ORIENTE,4,15,56,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,5300,false,1,1,1,OPORTUNISTA,-102.23080000,1339,-102.23082854,21.88316950
211117915,30422,ROBO TRANSEUNTE,9,2021-09-19,37,7,1,SIN TIPO,NORIAS DE OJOCALIENTE,353,CALLE,DIAMANTES,0,NA,"420,,,",CALLE,GRANATE,4,18,19,0,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,MOTOCICLETA,MOTOCICLETA,3,0,4000,false,1,6,1,TRANSEUNTE,-102.21840000,1340,-102.21842278,21.88787966
211118712,30422,ROBO TRANSEUNTE,9,2021-09-19,37,7,1,FRACCIONAMIENTO,LOMAS DEL MIRADOR V,621,CALLE,LOMA BRILLANTE,0,NA,"404,,,",CALLE,LOMA DEL SUR,5,22,20,0,false,false,9,NA,NA,0,NA,0,2 MUJERES,ND,0,0,false,N,N,3,0,5000,false,1,1,1,OPORTUNISTA,-102.26270000,1341,-102.26276317,21.84546053
211107863,30421,ROBO TRANSEUNTE,9,2021-09-17,37,5,1,FRACCIONAMIENTO,OJOCALIENTE INEGI,740,CALLE,LOS CONOS,0,NA,",,,",CALLE,LAS CUMBRES,4,17,47,0,false,true,3,NA,NA,0,NA,0,2 HOMBRES,ND,0,1,false,N,N,"3,28",0,0,false,1,1,1,TRANSEUNTE,-102.24990000,1342,-102.24995378,21.87816518
211109568,30421,ROBO TRANSEUNTE,9,2021-09-17,37,5,1,FRACCIONAMIENTO,MIRADORES DE SANTA ELENA,702,CALLE,PORTALES DEL BARRIO,0,NA,",,,",CALLE,PORTAL DEL BARRIO DEL ENCINO,3,22,38,0,false,true,3,NA,NA,0,NA,0,ND,ND,0,0,false,N,N,"12,31",0,0,false,1,1,1,TRANSEUNTE,-102.24190000,1343,-102.24198287,21.91612276
211109918,30422,ROBO TRANSEUNTE,9,2021-09-17,37,5,1,FRACCIONAMIENTO,PRADOS DEL SUR,1100,AVENIDA,MAHATMA GANDHI,0,NA,",,,",AVENIDA,AGUASCALIENTES SUR,2,23,50,0,false,false,9,NA,NA,0,NA,0,HOMBRES,ND,0,0,false,CAMIONETA,CAMIONETA DODGE RAM COLOR BLANCA,42,0,0,false,1,22,1,TRANSEUNTE,-102.29490000,1344,-102.29494966,21.85755469
